marca,clase,provincia,cantidad
SUZUKI,Motocicleta,PICHINCHA,3573
SUZUKI,Motocicleta,MANABÍ,3356
SUZUKI,Motocicleta,GUAYAS,3327
SUZUKI,Motocicleta,LOS RÍOS,3283
SHINERAY,Motocicleta,LOS RÍOS,1510
SUZUKI,Motocicleta,SANTO DOMINGO DE LOS TSÁCHILAS,1471
YAMAHA,Motocicleta,LOS RÍOS,1410
SHINERAY,Motocicleta,MANABÍ,1314
MOTOR UNO,Motocicleta,PICHINCHA,1289
TEKNO,Motocicleta,GUAYAS,1053
Otras Marcas,Motocicleta,LOS RÍOS,1052
YAMAHA,Motocicleta,MANABÍ,1028
SUZUKI,Motocicleta,EL ORO,1010
Otras Marcas,Motocicleta,GUAYAS,957
SHINERAY,Motocicleta,PICHINCHA,956
TRAXX,Motocicleta,MANABÍ,899
HONDA,Motocicleta,PICHINCHA,887
TEKNO,Motocicleta,MANABÍ,778
SUZUKI,Motocicleta,ESMERALDAS,774
SHINERAY,Motocicleta,EL ORO,768
SHINERAY,Motocicleta,GUAYAS,711
Otras Marcas,Motocicleta,MANABÍ,668
YAMAHA,Motocicleta,GUAYAS,651
MOTOR UNO,Motocicleta,MANABÍ,632
TRAXX,Motocicleta,GUAYAS,596
YAMAHA,Motocicleta,EL ORO,572
MOTOR UNO,Motocicleta,SANTO DOMINGO DE LOS TSÁCHILAS,556
SUZUKI,Motocicleta,SUCUMBÍOS,552
JIALING,Motocicleta,EL ORO,552
TRAXX,Motocicleta,LOS RÍOS,543
ORO MOTO,Motocicleta,GUAYAS,536
YAMAHA,Motocicleta,PICHINCHA,525
LINGKEN,Motocicleta,LOS RÍOS,514
SHINERAY,Motocicleta,SANTO DOMINGO DE LOS TSÁCHILAS,508
RANGER,Motocicleta,EL ORO,502
TRAXX,Motocicleta,PICHINCHA,502
Otras Marcas,Motocicleta,PICHINCHA,494
ORO MOTO,Motocicleta,LOS RÍOS,480
YAMAHA,Motocicleta,AZUAY,478
Otras Marcas,Motocicleta,EL ORO,473
LONCIN,Motocicleta,GUAYAS,448
MOTOR UNO,Motocicleta,LOS RÍOS,432
RANGER,Motocicleta,PICHINCHA,430
QMC,Motocicleta,GUAYAS,425
HONDA,Motocicleta,AZUAY,419
TRAXX,Motocicleta,SANTO DOMINGO DE LOS TSÁCHILAS,417
SUZUKI,Motocicleta,IMBABURA,414
SUZUKI,Motocicleta,COTOPAXI,414
Otras Marcas,Motocicleta,SANTO DOMINGO DE LOS TSÁCHILAS,397
HONDA,Motocicleta,LOS RÍOS,396
RANGER,Motocicleta,LOS RÍOS,393
YAMAHA,Motocicleta,SANTO DOMINGO DE LOS TSÁCHILAS,392
LONCIN,Motocicleta,LOS RÍOS,389
SUZUKI,Motocicleta,ORELLANA,366
MOTOR UNO,Motocicleta,ESMERALDAS,363
ORO MOTO,Motocicleta,EL ORO,361
KAWASAKI,Motocicleta,PICHINCHA,359
ORO MOTO,Motocicleta,MANABÍ,349
YAMAHA,Motocicleta,TUNGURAHUA,344
RANGER,Motocicleta,MANABÍ,342
SUZUKI,Motocicleta,CAÑAR,332
SUZUKI,Motocicleta,SANTA ELENA,329
QMC,Motocicleta,EL ORO,328
HONDA,Motocicleta,EL ORO,322
HONDA,Motocicleta,SUCUMBÍOS,318
HUSSAR,Motocicleta,MANABÍ,318
MOTOR UNO,Motocicleta,GUAYAS,306
SANYA,Motocicleta,LOS RÍOS,303
MOTOR UNO,Motocicleta,IMBABURA,297
QINGQI,Motocicleta,EL ORO,295
SUZUKI,Motocicleta,AZUAY,294
YASAKI,Motocicleta,GUAYAS,292
RANGER,Motocicleta,SANTO DOMINGO DE LOS TSÁCHILAS,291
HUSSAR,Motocicleta,GUAYAS,291
PEGASO,Motocicleta,LOS RÍOS,284
SUZUKI,Motocicleta,TUNGURAHUA,283
